optimizer_category,problem_type,optimizer_name,problem_name,best_result,best_step,used_budget,error_message,runtime,seed,efficiency
a,a,Hyperband,rf-146822,0.0099999999999998,40.0,3.9296875,,,105,3.9296875
a,a,GGA,rf-146822,0.0099999999999998,4.0,67.0,,,105,4.0
g,a,ACO,rf-146822,0.0099999999999998,3.0,55.0,,,105,3.0
a,a,irace,rf-146822,0.0099999999999998,3.0,67.0,,,105,3.0
g,a,HillClimbing,rf-146822,0.0099999999999998,11.0,42.0,,,105,2.0
a,a,HEBO,rf-146822,0.0099999999999998,7.0,67.0,,,105,5.0
g,a,RandomSearch,rf-146822,0.0099999999999998,6.0,67.0,,,105,2.0
g,a,ES,rf-146822,0.0099999999999998,6.0,67.0,,,105,2.0
a,a,ParamILS,rf-146822,0.0099999999999998,6.0,67.0,,,105,2.0
a,a,HABO,rf-146822,0.0099999999999998,19.0,67.0,,,105,18.0
a,a,SMAC,rf-146822,0.0099999999999998,9.0,67.0,,,105,4.0
g,a,BO,rf-146822,0.0099999999999998,6.0,67.0,,,105,2.0
a,a,UQGuided,rf-146822,0.0099999999999998,9.0,67.0,,,105,2.0
g,a,SA,rf-146822,0.0099999999999998,27.0,67.0,,,105,2.0
g,a,GA,xgboost-Covtype,0.0,134.0,219.0,,,105,0.375
g,a,PSO,xgboost-Covtype,0.0,113.0,169.0,,,105,0.375
g,a,RandomSearch,xgboost-Covtype,0.0625847499999991,47.0,220.0,,,105,0.375
a,a,HEBO,xgboost-Covtype,0.0,27.0,220.0,,,105,1.5
g,a,SA,xgboost-Covtype,0.0,214.0,220.0,,,105,2.75
a,a,ParamILS,xgboost-Covtype,0.0,17.0,77.0,,,105,0.375
g,a,ES,xgboost-Covtype,0.0,38.0,217.0,,,105,0.375
a,a,DEHB,xgboost-Covtype,0.0,15.0,220.0,,,105,1.125
a,a,Hyperband,xgboost-Covtype,0.0625847499999991,97.0,220.0,,,105,1.0
a,a,irace,xgboost-Covtype,0.0,81.0,200.0,,,105,4.125
a,a,GGA,xgboost-Covtype,0.0,40.0,220.0,,,105,2.625
g,a,ACO,xgboost-Covtype,0.0625847499999991,42.0,61.0,,,105,3.75
a,a,UQGuided,xgboost-Covtype,0.0,117.0,220.0,,,105,0.375
a,a,SMAC,xgboost-Covtype,0.0,20.0,72.0,,,105,0.75
g,a,BO,xgboost-Covtype,1.7367268200000012,3.0,115.0,,,105,0.375
g,a,HillClimbing,xgboost-Covtype,0.0,25.0,35.0,,,105,1.0
a,a,HABO,xgboost-Covtype,0.0,162.0,220.0,,,105,4.0
g,a,DE,xgboost-Covtype,1.564618749999994,38.0,220.0,,,105,0.375
a,a,BOHB,xgboost-Covtype,0.0,170.0,220.0,,,105,1.0
g,a,CMAES,xgboost-Covtype,0.0,118.0,151.0,,,105,2.0
g,s,PSO,jump3r,0.596,97.0,250.0,,,105,0.7142857142857143
g,s,RandomSearch,jump3r,0.678,68.0,320.0,,,105,0.6666666666666666
s,s,BestConfig,jump3r,0.678,68.0,320.0,,,105,0.6666666666666666
s,s,Tuneful,jump3r,0.596,21.0,115.0,,,105,0.5238095238095238
s,s,ROBOTune,jump3r,0.782,36.0,320.0,,,105,0.3809523809523809
s,s,OtterTune,jump3r,0.646,69.0,320.0,,,105,0.7142857142857143
s,s,ResTune,jump3r,0.712,61.0,320.0,,,105,1.238095238095238
s,s,PromiseTune,jump3r,0.604,69.0,320.0,,,105,1.5714285714285714
s,s,BOCA,jump3r,0.774,152.0,320.0,,,105,7.238095238095238
s,s,ATConf,jump3r,0.678,169.0,320.0,,,105,0.6190476190476191
g,s,DE,jump3r,0.596,196.0,320.0,,,105,1.2857142857142858
s,s,SWAY,jump3r,0.686,3.0,320.0,,,105,0.1428571428571428
g,s,ES,jump3r,0.596,282.0,320.0,,,105,0.8571428571428571
g,s,HillClimbing,jump3r,1.044,11.0,20.0,,,105,0.5238095238095238
g,s,SA,jump3r,0.646,76.0,273.0,,,105,1.4761904761904765
s,s,ConEx,jump3r,0.604,216.0,320.0,,,105,0.6666666666666666
g,s,ACO,jump3r,0.646,141.0,194.0,,,105,1.0952380952380951
g,s,BO,jump3r,0.646,268.0,320.0,,,105,2.0476190476190474
g,s,CMAES,jump3r,0.772,46.0,320.0,,,105,0.1904761904761904
s,s,FLASH,jump3r,0.596,222.0,320.0,,,105,0.6666666666666666
g,s,GA,jump3r,0.686,35.0,319.0,,,105,0.9047619047619048
a,a,ParamILS,xgb-146821,0.01,1.0,66.0,,,105,0.2083333333333333
a,a,HABO,xgb-146821,0.0,90.0,122.0,,,105,0.1666666666666666
g,a,RandomSearch,xgb-146821,0.01,1.0,178.0,,,105,0.2083333333333333
a,a,irace,xgb-146821,0.01,9.0,169.0,,,105,0.375
g,a,CMAES,xgb-146821,0.01,18.0,120.0,,,105,0.75
g,a,HillClimbing,xgb-146821,0.01,1.0,36.0,,,105,0.1666666666666666
g,a,PSO,xgb-146821,0.01,1.0,131.0,,,105,0.2083333333333333
g,a,SA,xgb-146821,0.01,1.0,178.0,,,105,0.625
g,a,ES,xgb-146821,0.01,1.0,178.0,,,105,0.2083333333333333
a,a,GGA,xgb-146821,0.01,24.0,178.0,,,105,1.0
g,a,ACO,xgb-146821,0.01,9.0,97.0,,,105,0.375
a,a,UQGuided,xgb-146821,0.0,153.0,178.0,,,105,0.2083333333333333
g,a,BO,xgb-146821,0.01,1.0,178.0,,,105,0.2083333333333333
a,a,HEBO,xgb-146821,0.01,18.0,178.0,,,105,0.75
g,a,GA,xgb-146821,0.01,1.0,177.0,,,105,0.2083333333333333
a,a,BOHB,xgb-146821,0.0,440.0,103.7300000000002,,,105,0.160375
a,a,SMAC,xgb-146821,0.0,14.0,178.0,,,105,0.1666666666666666
a,a,DEHB,xgb-146821,0.01,39.0,3.9629629629629632,,,105,0.1651234567901234
a,a,Hyperband,xgb-146821,0.0,701.0,160.92400000000055,,,105,0.1665416666666667
g,a,DE,xgb-146821,0.0,138.0,178.0,,,105,0.2083333333333333
a,a,ParamILS,rf-146212,0.0,1.0,67.0,,,105,3.0
a,a,BOHB,rf-146212,0.0,40.0,3.9296875,,,105,1.96484375
g,a,CMAES,rf-146212,0.0,65.0,102.0,,,105,1.0
g,a,DE,rf-146212,0.0,1.0,141.0,,,105,3.0
g,a,ACO,rf-146212,0.03,42.0,63.0,,,105,1.5
a,a,UQGuided,rf-146212,0.0,1.0,141.0,,,105,3.0
g,a,BO,rf-146212,0.0,1.0,141.0,,,105,3.0
g,a,PSO,rf-146212,0.0,1.0,112.0,,,105,3.0
g,a,ES,rf-146212,0.0,1.0,141.0,,,105,3.0
g,a,HillClimbing,rf-146212,0.0,1.0,36.0,,,105,1.5
a,a,HABO,rf-146212,0.0,20.0,141.0,,,105,1.5
a,a,HEBO,rf-146212,0.0,14.0,141.0,,,105,2.0
a,a,GGA,rf-146212,0.0,20.0,141.0,,,105,2.0
a,a,DEHB,rf-146212,0.0,53.0,8.037037037037035,,,105,1.7407407407407407
g,a,RandomSearch,rf-146212,0.0,1.0,141.0,,,105,3.0
g,a,GA,rf-146212,0.0,1.0,140.0,,,105,3.0
g,a,SA,rf-146212,0.0,1.0,141.0,,,105,1.5
a,a,irace,rf-146212,0.0,64.0,141.0,,,105,1.5
a,a,Hyperband,rf-146212,0.0,104.0,18.5,,,105,1.96484375
a,a,SMAC,rf-146212,0.0,1.0,141.0,,,105,1.5
s,s,ATConf,HSQLDB,53462.4,231.0,281.0,,,105,0.6296296296296297
g,s,HillClimbing,HSQLDB,53961.8,44.0,66.0,,,105,1.2222222222222223
s,s,ROBOTune,HSQLDB,53961.6,5.0,281.0,,,105,0.1851851851851851
s,s,OtterTune,HSQLDB,53678.4,264.0,281.0,,,105,0.5555555555555556
s,s,SWAY,HSQLDB,54258.2,27.0,281.0,,,105,1.0
s,s,BestConfig,HSQLDB,53791.8,49.0,281.0,,,105,0.5925925925925926
s,s,ResTune,HSQLDB,53826.8,166.0,281.0,,,105,0.1851851851851851
g,s,BO,HSQLDB,53608.0,105.0,281.0,,,105,0.2962962962962963
g,s,CMAES,HSQLDB,53662.4,178.0,281.0,,,105,0.4074074074074074
s,s,Tuneful,HSQLDB,53719.2,20.0,281.0,,,105,0.074074074074074
g,s,SA,HSQLDB,53832.8,23.0,82.0,,,105,0.6666666666666666
g,s,ACO,HSQLDB,53681.4,88.0,273.0,,,105,1.0740740740740742
s,s,PromiseTune,HSQLDB,54149.8,120.0,281.0,,,105,1.2222222222222223
g,s,RandomSearch,HSQLDB,53791.8,49.0,281.0,,,105,0.2962962962962963
